Target Distance:1,Step Size:100
0 : Mover object mode is invaild
After 1 steps, thr mover has the following location:
6641 : (x,y) = (37.9054,2.1959)

6642 : (x,y) = (37.222,1.46584)

6643 : (x,y) = (37.6185,0.547771)

6644 : (x,y) = (37.9621,1.48687)

6645 : (x,y) = (38.9616,1.45369)

6646 : (x,y) = (38.5792,0.529693)

6647 : (x,y) = (37.6654,0.123388)

6648 : (x,y) = (38.1716,0.985792)

6649 : (x,y) = (38.2024,1.98532)

6650 : (x,y) = (38.3594,0.997713)

6651 : (x,y) = (37.622,1.67318)

6652 : (x,y) = (36.622,1.67477)

6653 : (x,y) = (37.5043,2.14539)

6654 : (x,y) = (37.6117,1.15118)

6655 : (x,y) = (38.4256,1.73221)

6656 : (x,y) = (39.4203,1.62921)

6657 : (x,y) = (39.0013,0.721244)

6658 : (x,y) = (38.0525,1.03732)

6659 : (x,y) = (39.0358,0.85516)

6660 : (x,y) = (39.5393,-0.00885248)

6661 : (x,y) = (40.4994,-0.288268)

6662 : (x,y) = (40.9855,-1.16218)

6663 : (x,y) = (41.7352,-1.82395)

6664 : (x,y) = (41.2653,-0.941245)

6665 : (x,y) = (40.7348,-0.0935671)

6666 : (x,y) = (39.739,-0.00210246)

6667 : (x,y) = (39.3595,0.923109)

6668 : (x,y) = (39.9654,1.71871)

6669 : (x,y) = (39.3583,0.924075)

6670 : (x,y) = (40.2406,1.3947)

6671 : (x,y) = (40.1384,0.399938)

6672 : (x,y) = (39.4573,1.13217)

6673 : (x,y) = (39.1787,0.171777)

6674 : (x,y) = (38.8242,-0.763276)

6675 : (x,y) = (38.3871,-1.66268)

6676 : (x,y) = (37.7825,-0.866116)

6677 : (x,y) = (38.7772,-0.969118)

6678 : (x,y) = (37.8016,-0.749334)

6679 : (x,y) = (38.7867,-0.921655)

6680 : (x,y) = (39.7626,-0.703426)

6681 : (x,y) = (38.7822,-0.900534)

6682 : (x,y) = (39.7071,-0.520345)

6683 : (x,y) = (40.5847,-0.0409197)

6684 : (x,y) = (39.7999,-0.660657)

6685 : (x,y) = (38.8176,-0.847951)

6686 : (x,y) = (37.834,-0.667355)

6687 : (x,y) = (36.8698,-0.932551)

6688 : (x,y) = (37.1565,0.0254647)

6689 : (x,y) = (38.1324,0.243694)

6690 : (x,y) = (38.978,-0.290188)

6691 : (x,y) = (39.6937,-0.988606)

6692 : (x,y) = (39.444,-1.95692)

6693 : (x,y) = (39.1973,-0.987816)

6694 : (x,y) = (39.5783,-0.0632098)

6695 : (x,y) = (40.3078,-0.747176)

6696 : (x,y) = (39.6391,-1.49075)

6697 : (x,y) = (38.8129,-2.05408)

6698 : (x,y) = (38.0621,-1.3935)

6699 : (x,y) = (38.8931,-0.83714)

6700 : (x,y) = (39.3107,0.0714935)

6701 : (x,y) = (40.0604,-0.590283)

6702 : (x,y) = (40.1876,-1.58215)

6703 : (x,y) = (39.8549,-0.639131)

6704 : (x,y) = (40.5658,0.064148)

6705 : (x,y) = (40.956,0.984899)

6706 : (x,y) = (41.1847,1.95838)

6707 : (x,y) = (40.5565,2.73646)

6708 : (x,y) = (39.6797,3.21728)

6709 : (x,y) = (38.6799,3.19887)

6710 : (x,y) = (37.9097,3.83664)

6711 : (x,y) = (37.1026,4.42707)

6712 : (x,y) = (37.6232,3.5733)

6713 : (x,y) = (37.3094,4.52278)

6714 : (x,y) = (38.2992,4.38009)

6715 : (x,y) = (39.117,3.80461)

6716 : (x,y) = (39.5527,4.70471)

6717 : (x,y) = (38.5686,4.52725)

6718 : (x,y) = (37.643,4.14853)

6719 : (x,y) = (37.0124,3.37247)

6720 : (x,y) = (37.1428,4.36392)

6721 : (x,y) = (36.826,3.41544)

6722 : (x,y) = (37.7036,3.89487)

6723 : (x,y) = (38.5544,3.36947)

6724 : (x,y) = (38.2758,2.40908)

6725 : (x,y) = (39.1995,2.02594)

6726 : (x,y) = (39.8743,2.76387)

6727 : (x,y) = (40.6824,3.35302)

6728 : (x,y) = (40.3561,2.40775)

6729 : (x,y) = (39.5858,3.04552)

6730 : (x,y) = (38.9973,3.85402)

6731 : (x,y) = (38.925,2.85663)

6732 : (x,y) = (39.9044,2.65484)

6733 : (x,y) = (40.8942,2.51215)

6734 : (x,y) = (41.3715,1.63342)

6735 : (x,y) = (41.1443,2.60727)

6736 : (x,y) = (42.1345,2.74681)

6737 : (x,y) = (41.7551,3.67202)

6738 : (x,y) = (40.8931,4.17893)

6739 : (x,y) = (40.0575,4.72829)

6740 : (x,y) = (40.6284,3.90727)

6741 : (x,y) = (39.631,3.9788)

6742 : (x,y) = (40.3277,4.69616)

6743 : (x,y) = (41.316,4.54357)

6744 : (x,y) = (41.9982,5.27472)

6745 : (x,y) = (41.0184,5.47495)

6746 : (x,y) = (40.031,5.3172)

6747 : (x,y) = (40.976,4.99015)

6748 : (x,y) = (41.6336,4.23677)

6749 : (x,y) = (42.4416,4.82591)

6750 : (x,y) = (41.8505,4.0193)

6751 : (x,y) = (40.8506,4.03089)

6752 : (x,y) = (40.4774,3.10311)

6753 : (x,y) = (39.8945,2.29063)

6754 : (x,y) = (40.7815,2.7524)

6755 : (x,y) = (39.9685,3.33473)

6756 : (x,y) = (39.9993,4.33426)

6757 : (x,y) = (40.1365,3.34371)

6758 : (x,y) = (40.0275,4.33776)

6759 : (x,y) = (39.6573,5.26672)

6760 : (x,y) = (38.7151,5.60171)

6761 : (x,y) = (39.7048,5.45901)

6762 : (x,y) = (40.0296,6.40479)

6763 : (x,y) = (39.0315,6.46635)

6764 : (x,y) = (39.0691,5.46705)

6765 : (x,y) = (38.5904,6.34502)

6766 : (x,y) = (38.409,5.3616)

6767 : (x,y) = (37.4107,5.30323)

6768 : (x,y) = (36.4138,5.2249)

6769 : (x,y) = (37.1247,5.92818)

6770 : (x,y) = (36.6697,5.0377)

6771 : (x,y) = (36.6373,4.03822)

6772 : (x,y) = (36.6349,3.03823)

6773 : (x,y) = (36.6326,2.03823)

6774 : (x,y) = (37.2901,1.28485)

6775 : (x,y) = (37.2678,0.285101)

6776 : (x,y) = (37.4672,1.26501)

6777 : (x,y) = (37.3483,2.25791)

6778 : (x,y) = (36.8608,3.13105)

6779 : (x,y) = (36.4721,4.05242)

6780 : (x,y) = (36.1176,3.11736)

6781 : (x,y) = (37.0977,3.31603)

6782 : (x,y) = (38.037,3.65893)

6783 : (x,y) = (37.6762,4.59155)

6784 : (x,y) = (36.6762,4.58314)

6785 : (x,y) = (35.7045,4.34698)

6786 : (x,y) = (35.0999,5.14355)

6787 : (x,y) = (35.6952,4.34003)

6788 : (x,y) = (34.6978,4.41156)

6789 : (x,y) = (33.7895,4.82988)

6790 : (x,y) = (33.6904,5.82496)

6791 : (x,y) = (34.5196,5.26596)

6792 : (x,y) = (35.3335,5.84699)

6793 : (x,y) = (35.3411,4.84702)

6794 : (x,y) = (36.2371,5.29097)

6795 : (x,y) = (35.7382,4.42434)

6796 : (x,y) = (35.166,5.24444)

6797 : (x,y) = (34.1843,5.43487)

6798 : (x,y) = (34.7578,6.25406)

6799 : (x,y) = (35.6401,6.72468)

6800 : (x,y) = (35.9619,5.77787)

6801 : (x,y) = (34.9729,5.63001)

6802 : (x,y) = (33.9811,5.50195)

6803 : (x,y) = (33.3982,4.68946)

6804 : (x,y) = (32.4701,5.06186)

6805 : (x,y) = (33.4437,5.28984)

6806 : (x,y) = (32.5383,4.86534)

6807 : (x,y) = (33.3463,5.45449)

6808 : (x,y) = (34.2956,5.76905)

6809 : (x,y) = (34.56,4.80465)

6810 : (x,y) = (34.291,3.84152)

6811 : (x,y) = (35.2908,3.86152)

6812 : (x,y) = (36.2157,4.2417)

6813 : (x,y) = (36.9383,3.55048)

6814 : (x,y) = (35.9432,3.45223)

6815 : (x,y) = (35.884,4.45048)

6816 : (x,y) = (35.5295,3.51542)

6817 : (x,y) = (36.103,4.33462)

6818 : (x,y) = (35.581,5.18756)

6819 : (x,y) = (34.5819,5.22914)

6820 : (x,y) = (34.5327,6.22793)

6821 : (x,y) = (34.7094,5.24366)

6822 : (x,y) = (33.7094,5.24525)

6823 : (x,y) = (32.7661,4.91327)

6824 : (x,y) = (33.7572,4.78047)

6825 : (x,y) = (33.332,5.68556)

6826 : (x,y) = (34.208,5.20335)

6827 : (x,y) = (35.1563,4.88576)

6828 : (x,y) = (34.4122,5.55381)

6829 : (x,y) = (34.7149,4.60075)

6830 : (x,y) = (33.7409,4.37433)

6831 : (x,y) = (34.5411,3.77458)

6832 : (x,y) = (34.4688,2.7772)

6833 : (x,y) = (35.2923,2.20993)

6834 : (x,y) = (34.6237,1.46635)

6835 : (x,y) = (33.6311,1.58764)

6836 : (x,y) = (33.8372,0.609118)

6837 : (x,y) = (33.9973,1.59622)

6838 : (x,y) = (33.9549,0.597116)

6839 : (x,y) = (34.6565,-0.115476)

6840 : (x,y) = (35.2463,0.692082)

6841 : (x,y) = (34.5342,-0.0100639)

6842 : (x,y) = (33.7098,0.555892)

6843 : (x,y) = (32.9861,1.24597)

6844 : (x,y) = (33.9574,1.48367)

6845 : (x,y) = (33.1664,0.871812)

6846 : (x,y) = (33.6699,0.00779973)

6847 : (x,y) = (34.6664,-0.0752897)

6848 : (x,y) = (35.6378,0.162413)

6849 : (x,y) = (35.1563,-0.714022)

6850 : (x,y) = (36.1292,-0.9451)

6851 : (x,y) = (35.468,-1.69533)

6852 : (x,y) = (34.5713,-2.13785)

6853 : (x,y) = (33.8663,-2.84708)

6854 : (x,y) = (34.5772,-2.1438)

6855 : (x,y) = (35.4228,-2.67768)

6856 : (x,y) = (35.929,-1.81528)

6857 : (x,y) = (35.138,-2.42714)

6858 : (x,y) = (35.6415,-3.29115)

6859 : (x,y) = (35.5692,-4.28853)

6860 : (x,y) = (34.585,-4.46599)

6861 : (x,y) = (35.1226,-5.30918)

6862 : (x,y) = (36.0357,-4.90142)

6863 : (x,y) = (36.576,-4.05995)

6864 : (x,y) = (35.6468,-4.42939)

6865 : (x,y) = (35.1419,-3.56618)

6866 : (x,y) = (34.1438,-3.50463)

6867 : (x,y) = (35.1012,-3.79363)

6868 : (x,y) = (35.7834,-3.06248)

6869 : (x,y) = (36.5129,-3.74645)

6870 : (x,y) = (36.2086,-2.79387)

6871 : (x,y) = (37.2068,-2.73391)

6872 : (x,y) = (36.7787,-3.63764)

6873 : (x,y) = (37.7643,-3.46846)

6874 : (x,y) = (37.9637,-2.48855)

6875 : (x,y) = (38.8996,-2.13628)

6876 : (x,y) = (38.0427,-1.62077)

6877 : (x,y) = (38.8011,-0.968941)

6878 : (x,y) = (39.5168,-1.66736)

6879 : (x,y) = (38.6384,-2.14539)

6880 : (x,y) = (39.604,-2.40554)

6881 : (x,y) = (38.7523,-1.8815)

6882 : (x,y) = (38.978,-2.85571)

6883 : (x,y) = (38.1194,-3.36848)

6884 : (x,y) = (38.588,-4.25193)

6885 : (x,y) = (37.6238,-4.51713)

6886 : (x,y) = (38.0475,-5.42289)

6887 : (x,y) = (37.9485,-4.42781)

6888 : (x,y) = (37.2387,-3.7234)

6889 : (x,y) = (37.8178,-4.53866)

6890 : (x,y) = (36.9458,-4.0491)

6891 : (x,y) = (37.9356,-4.19179)

6892 : (x,y) = (38.3713,-3.29169)

6893 : (x,y) = (37.3823,-3.43956)

6894 : (x,y) = (36.7362,-4.20286)

6895 : (x,y) = (37.0037,-3.2393)

6896 : (x,y) = (37.5608,-2.4088)

6897 : (x,y) = (36.6352,-2.78752)

6898 : (x,y) = (37.5128,-2.30809)

6899 : (x,y) = (37.0166,-1.43988)

6900 : (x,y) = (37.2841,-0.47632)

6901 : (x,y) = (36.911,-1.4041)

6902 : (x,y) = (36.1099,-0.805623)

6903 : (x,y) = (37.0804,-1.04642)

6904 : (x,y) = (36.1475,-1.40655)

6905 : (x,y) = (36.2051,-2.40489)

6906 : (x,y) = (36.4726,-1.44133)

6907 : (x,y) = (36.1305,-0.501686)

6908 : (x,y) = (35.8549,0.459589)

6909 : (x,y) = (35.2345,1.24391)

6910 : (x,y) = (35.2421,0.243934)

6911 : (x,y) = (36.1619,-0.148416)

6912 : (x,y) = (36.5026,-1.08861)

6913 : (x,y) = (36.8556,-0.152989)

6914 : (x,y) = (37.5428,-0.879469)

6915 : (x,y) = (37.4406,-1.87423)

6916 : (x,y) = (37.3914,-0.875442)

6917 : (x,y) = (37.9401,-0.0394163)

6918 : (x,y) = (38.6052,-0.786182)

6919 : (x,y) = (38.0006,0.0103838)

6920 : (x,y) = (37.9415,1.00863)

6921 : (x,y) = (36.9416,0.990225)

6922 : (x,y) = (37.7418,0.390478)

6923 : (x,y) = (37.2631,1.26844)

6924 : (x,y) = (37.5113,2.23716)

6925 : (x,y) = (37.3299,1.25374)

6926 : (x,y) = (36.5471,1.87598)

6927 : (x,y) = (36.0655,0.999543)

6928 : (x,y) = (35.0714,0.891348)

6929 : (x,y) = (35.4707,1.80815)

6930 : (x,y) = (34.8195,2.56703)

6931 : (x,y) = (35.7797,2.28762)

6932 : (x,y) = (36.5315,2.947)

6933 : (x,y) = (36.3238,3.9252)

6934 : (x,y) = (37.1866,4.43073)

6935 : (x,y) = (38.0857,3.9929)

6936 : (x,y) = (39.0843,3.93974)

6937 : (x,y) = (38.1802,4.36712)

6938 : (x,y) = (39.1077,3.99324)

6939 : (x,y) = (40.1072,4.02324)

6940 : (x,y) = (39.7434,3.09178)

6941 : (x,y) = (38.9115,2.53674)

6942 : (x,y) = (37.9538,2.82422)

6943 : (x,y) = (38.0313,1.82723)

6944 : (x,y) = (38.6504,1.04193)

6945 : (x,y) = (39.2773,0.262853)

6946 : (x,y) = (39.2481,1.26243)

6947 : (x,y) = (38.6815,0.438442)

6948 : (x,y) = (39.42,1.11273)

6949 : (x,y) = (38.6434,1.74276)

6950 : (x,y) = (38.6242,2.74258)

6951 : (x,y) = (37.9432,3.47481)

6952 : (x,y) = (38.1426,4.45472)

6953 : (x,y) = (38.6745,5.30155)

6954 : (x,y) = (39.674,5.33154)

6955 : (x,y) = (40.6738,5.30836)

6956 : (x,y) = (41.4033,4.62439)

6957 : (x,y) = (40.7829,5.40871)

6958 : (x,y) = (40.1625,6.19303)

6959 : (x,y) = (40.4748,5.24304)

6960 : (x,y) = (39.5694,4.81854)

6961 : (x,y) = (39.6469,3.82155)

6962 : (x,y) = (38.9783,3.07797)

6963 : (x,y) = (38.4309,3.91487)

6964 : (x,y) = (38.7242,2.95883)

6965 : (x,y) = (38.1685,3.79022)

6966 : (x,y) = (37.5535,3.00169)

6967 : (x,y) = (36.5957,3.28917)

6968 : (x,y) = (37.3605,3.93339)

6969 : (x,y) = (37.9584,4.73501)

6970 : (x,y) = (38.9157,4.446)

6971 : (x,y) = (39.8846,4.69341)

6972 : (x,y) = (39.6965,5.67556)

6973 : (x,y) = (40.386,6.39985)

6974 : (x,y) = (39.597,7.01422)

6975 : (x,y) = (40.5634,7.2713)

6976 : (x,y) = (41.5323,7.51871)

6977 : (x,y) = (40.64,7.06724)

6978 : (x,y) = (41.3295,7.79153)

6979 : (x,y) = (41.7831,8.68274)

6980 : (x,y) = (40.988,9.28919)

6981 : (x,y) = (41.1776,10.271)

6982 : (x,y) = (40.4269,10.9316)

6983 : (x,y) = (40.9896,10.1049)

6984 : (x,y) = (40.001,10.256)

6985 : (x,y) = (39.2961,9.54672)

6986 : (x,y) = (39.1871,10.5408)

6987 : (x,y) = (40.0549,11.0376)

6988 : (x,y) = (39.4088,10.2743)

6989 : (x,y) = (38.4203,10.4254)

6990 : (x,y) = (39.4053,10.253)

6991 : (x,y) = (38.8806,9.40177)

6992 : (x,y) = (37.8902,9.2638)

6993 : (x,y) = (38.8033,9.67156)

6994 : (x,y) = (39.7944,9.53877)

6995 : (x,y) = (39.7121,8.54216)

6996 : (x,y) = (38.8154,8.09964)

6997 : (x,y) = (37.8159,8.13123)

6998 : (x,y) = (36.9118,8.55861)

6999 : (x,y) = (36.3314,9.37295)

7000 : (x,y) = (35.3373,9.26475)

7001 : (x,y) = (35.011,8.31949)

7002 : (x,y) = (34.6972,9.26897)

7003 : (x,y) = (35.0502,10.2046)

7004 : (x,y) = (35.815,10.8488)

7005 : (x,y) = (35.0577,11.5018)

7006 : (x,y) = (36.0005,11.8353)

7007 : (x,y) = (35.0712,11.4659)

7008 : (x,y) = (34.0731,11.5274)

7009 : (x,y) = (34.4816,12.4402)

7010 : (x,y) = (34.9937,11.5813)

7011 : (x,y) = (35.6832,12.3056)

7012 : (x,y) = (34.7654,11.9084)

7013 : (x,y) = (33.829,11.5576)

7014 : (x,y) = (33.7367,10.5619)

7015 : (x,y) = (34.4524,9.86348)

7016 : (x,y) = (34.9209,8.98002)

7017 : (x,y) = (33.9283,9.10132)

7018 : (x,y) = (33.7666,8.11447)

7019 : (x,y) = (33.4309,7.17252)

7020 : (x,y) = (34.3964,6.91236)

7021 : (x,y) = (34.1274,5.94923)

7022 : (x,y) = (34.155,4.94961)

7023 : (x,y) = (34.3021,3.96049)

7024 : (x,y) = (33.306,3.87219)

7025 : (x,y) = (33.6962,4.79294)

7026 : (x,y) = (33.0812,4.00442)

7027 : (x,y) = (33.8892,4.59356)

7028 : (x,y) = (33.0029,5.05675)

7029 : (x,y) = (33.1302,4.06489)

7030 : (x,y) = (33.7255,3.26137)

7031 : (x,y) = (34.4752,2.59959)

7032 : (x,y) = (35.3312,2.08272)

7033 : (x,y) = (35.7579,2.98714)

7034 : (x,y) = (35.1831,2.16886)

7035 : (x,y) = (34.4172,1.52586)

7036 : (x,y) = (35.3042,1.98764)

7037 : (x,y) = (35.5813,2.94847)

7038 : (x,y) = (36.5664,2.77615)

7039 : (x,y) = (37.4424,2.29394)

7040 : (x,y) = (36.4601,2.10664)

7041 : (x,y) = (35.5202,1.76524)

7042 : (x,y) = (34.5272,1.64711)

7043 : (x,y) = (33.6318,2.09248)

7044 : (x,y) = (32.6521,2.29271)

7045 : (x,y) = (33.4977,1.75883)

7046 : (x,y) = (34.4916,1.86861)

7047 : (x,y) = (34.4125,2.86547)

7048 : (x,y) = (33.4362,2.6488)

7049 : (x,y) = (33.1384,1.69417)

7050 : (x,y) = (32.3811,2.34721)

7051 : (x,y) = (31.6713,3.05162)

7052 : (x,y) = (31.1838,3.92476)

7053 : (x,y) = (32.0294,3.39087)

7054 : (x,y) = (31.8906,4.3812)

7055 : (x,y) = (30.93,4.65909)

7056 : (x,y) = (31.9151,4.48677)

7057 : (x,y) = (31.9659,5.48548)

7058 : (x,y) = (31.2421,6.17555)

7059 : (x,y) = (32.1619,5.7832)

7060 : (x,y) = (32.8914,5.09923)

7061 : (x,y) = (33.5209,5.87631)

7062 : (x,y) = (32.6112,5.46088)

7063 : (x,y) = (31.6126,5.51245)

7064 : (x,y) = (30.7489,5.0083)

7065 : (x,y) = (31.6015,5.53098)

7066 : (x,y) = (32.6007,5.57097)

7067 : (x,y) = (32.0702,6.41865)

7068 : (x,y) = (31.1313,6.76304)

7069 : (x,y) = (31.5821,5.8704)

7070 : (x,y) = (30.699,5.40118)

7071 : (x,y) = (31.0862,4.47919)

7072 : (x,y) = (32.0386,4.78425)

7073 : (x,y) = (31.4582,5.59859)

7074 : (x,y) = (31.8758,6.50722)

7075 : (x,y) = (31.3201,7.3386)

7076 : (x,y) = (30.8326,8.21174)

7077 : (x,y) = (29.8739,7.92731)

7078 : (x,y) = (28.8903,8.10791)

7079 : (x,y) = (28.6698,7.13253)

7080 : (x,y) = (27.7573,7.54175)

7081 : (x,y) = (26.8937,7.03759)

7082 : (x,y) = (27.8068,7.44535)

7083 : (x,y) = (27.3253,6.56891)

7084 : (x,y) = (27.6185,5.61287)

7085 : (x,y) = (28.5233,6.03881)

7086 : (x,y) = (29.0381,6.89611)

7087 : (x,y) = (28.6772,7.82873)

7088 : (x,y) = (27.7607,8.2288)

7089 : (x,y) = (26.7612,8.26039)

7090 : (x,y) = (26.6392,7.26787)

7091 : (x,y) = (26.3925,8.23697)

7092 : (x,y) = (25.3926,8.22857)

7093 : (x,y) = (25.789,7.3105)

7094 : (x,y) = (24.799,7.45162)

7095 : (x,y) = (23.81,7.30375)

7096 : (x,y) = (22.8551,7.60079)

7097 : (x,y) = (21.8582,7.52247)

7098 : (x,y) = (21.513,6.58392)

7099 : (x,y) = (22.486,6.35284)

7100 : (x,y) = (21.486,6.36443)

7101 : (x,y) = (20.7075,5.73688)

7102 : (x,y) = (21.4893,5.1134)

7103 : (x,y) = (22.2914,5.71059)

7104 : (x,y) = (22.9713,4.97728)

7105 : (x,y) = (22.1865,4.35754)

7106 : (x,y) = (23.0229,4.90557)

7107 : (x,y) = (22.6872,3.96361)

7108 : (x,y) = (23.3219,3.19085)

7109 : (x,y) = (24.29,2.94036)

7110 : (x,y) = (23.3015,3.09137)

7111 : (x,y) = (22.4138,2.631)

7112 : (x,y) = (21.8013,3.42148)

7113 : (x,y) = (22.6377,3.96951)

7114 : (x,y) = (23.5153,4.44893)

7115 : (x,y) = (24.0944,3.63367)

7116 : (x,y) = (24.8636,2.99468)

7117 : (x,y) = (24.087,3.62471)

7118 : (x,y) = (23.0904,3.70621)

7119 : (x,y) = (23.9043,4.28725)

7120 : (x,y) = (23.7131,3.3057)

7121 : (x,y) = (24.6417,3.67662)

7122 : (x,y) = (23.8288,4.25895)

7123 : (x,y) = (24.6309,4.85614)

7124 : (x,y) = (25.6022,5.09385)

7125 : (x,y) = (26.3606,5.74568)

7126 : (x,y) = (25.7093,6.50456)

7127 : (x,y) = (25.2366,5.62335)

7128 : (x,y) = (25.0749,4.63651)

7129 : (x,y) = (26.0097,4.28126)

7130 : (x,y) = (26.9999,4.4208)

7131 : (x,y) = (26.2276,3.78549)

7132 : (x,y) = (26.0857,2.79561)

7133 : (x,y) = (27.0671,2.60363)

7134 : (x,y) = (26.4923,1.78535)

7135 : (x,y) = (27.3635,1.29439)

7136 : (x,y) = (27.1853,2.27838)

7137 : (x,y) = (27.8797,1.55881)

7138 : (x,y) = (28.1568,2.51964)

7139 : (x,y) = (27.4541,3.23112)

7140 : (x,y) = (27.047,4.14453)

7141 : (x,y) = (26.2097,3.59784)

7142 : (x,y) = (25.322,3.13747)

7143 : (x,y) = (24.6938,3.91555)

7144 : (x,y) = (23.7115,3.72825)

7145 : (x,y) = (22.7163,3.63)

7146 : (x,y) = (22.5251,2.64845)

7147 : (x,y) = (23.4121,3.11023)

7148 : (x,y) = (24.092,2.37692)

7149 : (x,y) = (24.3402,3.34563)

7150 : (x,y) = (25.3394,3.38562)

7151 : (x,y) = (24.3401,3.34722)

7152 : (x,y) = (24.5002,4.33432)

7153 : (x,y) = (23.5505,4.02127)

7154 : (x,y) = (24.4716,4.41069)

7155 : (x,y) = (24.0344,3.51128)

7156 : (x,y) = (24.912,3.99071)

7157 : (x,y) = (24.0551,4.50621)

7158 : (x,y) = (24.0559,5.50621)

7159 : (x,y) = (23.9041,4.5178)

7160 : (x,y) = (24.9023,4.57776)

7161 : (x,y) = (24.2899,5.36824)

7162 : (x,y) = (25.1263,5.91627)

7163 : (x,y) = (26.0745,5.59868)

7164 : (x,y) = (26.4339,4.66549)

7165 : (x,y) = (26.3349,5.66057)

7166 : (x,y) = (27.3324,5.73051)

7167 : (x,y) = (27.6096,6.69135)

7168 : (x,y) = (27.128,5.81491)

7169 : (x,y) = (27.5788,4.92227)

7170 : (x,y) = (26.9027,4.18541)

7171 : (x,y) = (26.7442,5.17277)

7172 : (x,y) = (26.2308,6.03088)

7173 : (x,y) = (25.251,6.23111)

7174 : (x,y) = (26.1271,5.74889)

7175 : (x,y) = (26.6731,4.91113)

7176 : (x,y) = (26.1065,4.08714)

7177 : (x,y) = (25.5261,4.90148)

7178 : (x,y) = (24.7538,4.26617)

7179 : (x,y) = (25.4833,3.58221)

7180 : (x,y) = (25.9868,2.7182)

7181 : (x,y) = (25.8449,1.72832)

7182 : (x,y) = (26.7127,2.2252)

7183 : (x,y) = (25.7728,1.88379)

7184 : (x,y) = (26.2962,2.7359)

7185 : (x,y) = (25.3964,3.1723)

7186 : (x,y) = (26.2592,3.67784)

7187 : (x,y) = (26.4095,4.66649)

7188 : (x,y) = (25.5889,4.09493)

7189 : (x,y) = (26.5669,4.30339)

7190 : (x,y) = (26.7171,5.29204)

7191 : (x,y) = (25.7416,5.51182)

7192 : (x,y) = (25.6394,4.51706)

7193 : (x,y) = (26.5854,4.8411)

7194 : (x,y) = (25.5903,4.74285)

7195 : (x,y) = (25.4385,3.75444)

7196 : (x,y) = (26.2857,4.28563)

7197 : (x,y) = (25.553,3.60515)

7198 : (x,y) = (25.9705,4.51379)

7199 : (x,y) = (24.9965,4.28736)

7200 : (x,y) = (24.0437,3.98382)

7201 : (x,y) = (23.4233,4.76814)

7202 : (x,y) = (24.2487,5.33278)

7203 : (x,y) = (23.3021,5.01024)

7204 : (x,y) = (23.4918,5.9921)

7205 : (x,y) = (24.482,6.13164)

7206 : (x,y) = (25.2761,5.52392)

7207 : (x,y) = (26.1286,6.04661)

7208 : (x,y) = (25.5401,6.8551)

7209 : (x,y) = (25.6607,7.84782)

7210 : (x,y) = (26.1231,8.73444)

7211 : (x,y) = (25.75,7.80667)

7212 : (x,y) = (26.5902,7.26436)

7213 : (x,y) = (25.648,7.59935)

7214 : (x,y) = (24.8821,6.95635)

7215 : (x,y) = (24.2084,7.69535)

7216 : (x,y) = (23.7473,8.58271)

7217 : (x,y) = (23.189,7.7531)

7218 : (x,y) = (23.1098,8.74997)

7219 : (x,y) = (22.7583,9.68615)

7220 : (x,y) = (22.7859,8.68653)

7221 : (x,y) = (23.7218,9.0388)

7222 : (x,y) = (23.0168,8.32957)

7223 : (x,y) = (23.7553,9.00386)

7224 : (x,y) = (23.7461,10.0038)

7225 : (x,y) = (24.1363,10.9246)

7226 : (x,y) = (24.2369,11.9195)

7227 : (x,y) = (25.1922,12.215)

7228 : (x,y) = (24.5694,11.4327)

7229 : (x,y) = (23.6295,11.0913)

7230 : (x,y) = (23.5304,12.0864)

7231 : (x,y) = (24.4502,11.694)

7232 : (x,y) = (23.8862,12.5198)

7233 : (x,y) = (23.4581,11.6161)

7234 : (x,y) = (24.4557,11.686)

7235 : (x,y) = (23.7894,12.4317)

7236 : (x,y) = (23.1666,11.6494)

7237 : (x,y) = (22.4687,10.9331)

7238 : (x,y) = (21.5871,11.4052)

7239 : (x,y) = (20.588,11.4467)

7240 : (x,y) = (19.6039,11.2693)

7241 : (x,y) = (19.0209,10.4568)

7242 : (x,y) = (19.5612,11.2983)

7243 : (x,y) = (20.313,11.9576)

7244 : (x,y) = (19.4613,12.4817)

7245 : (x,y) = (19.2831,13.4657)

